Nuclide,Element,Z,N,A,BE_exp_MeV,sigma_exp_MeV,sigma_exp_keV
139Sm,Sm,62,77,139,1145.7879254,0.0108837,10.8837
140Sm,Sm,62,78,140,1156.934954,0.012502,12.502
141Sm,Sm,62,79,141,1165.484286,0.0085305,8.5305
142Sm,Sm,62,80,142,1176.6035794,0.0018602,1.8602
143Sm,Sm,62,81,143,1185.2100975,0.0027456,2.7456
144Sm,Sm,62,82,144,1195.72992,0.0014544,1.4544
145Sm,Sm,62,83,145,1202.4870155,0.001479,1.479
146Sm,Sm,62,84,146,1210.9032826,0.0030514,3.0514
147Sm,Sm,62,85,147,1217.2442898,0.0012642,1.2642
148Sm,Sm,62,86,148,1225.3856248,0.0012432,1.2432
149Sm,Sm,62,87,149,1231.2567767,0.0011622,1.1622
150Sm,Sm,62,88,150,1239.243525,0.00111,1.11
151Sm,Sm,62,89,151,1244.8399985,0.0011174,1.1174
152Sm,Sm,62,90,152,1253.097804,0.0010184,1.0184
153Sm,Sm,62,91,153,1258.9662069,0.0010251,1.0251
154Sm,Sm,62,92,154,1266.9330366,0.001309,1.309
155Sm,Sm,62,93,155,1272.739999,0.001333,1.333
156Sm,Sm,62,94,156,1279.9808424,0.0085176,8.5176
157Sm,Sm,62,95,157,1285.3690794,0.0044274,4.4274
158Sm,Sm,62,96,158,1292.014585,0.0047874,4.7874
159Sm,Sm,62,97,159,1297.0419117,0.0059307,5.9307
160Sm,Sm,62,98,160,1303.138544,0.001952,1.952
161Sm,Sm,62,99,161,1307.6487298,0.0068103,6.8103
162Sm,Sm,62,100,162,1313.427069,0.0035316,3.5316
163Sm,Sm,62,101,163,1317.7189439,0.0073513,7.3513
164Sm,Sm,62,102,164,1323.1159692,0.0041,4.100000000000001
137Eu,Eu,63,74,137,1116.6286106,0.004384,4.383999999999999
138Eu,Eu,63,75,138,1126.3037118,0.027945,27.945
139Eu,Eu,63,76,139,1138.0233993,0.0131494,13.1494
140Eu,Eu,63,77,140,1147.68262,0.051534,51.53400000000001
141Eu,Eu,63,78,141,1158.6936273,0.0126336,12.6336
142Eu,Eu,63,79,142,1168.148232,0.0300614,30.0614
143Eu,Eu,63,80,143,1179.1519311,0.0109824,10.9824
144Eu,Eu,63,81,144,1188.6011136,0.0107856,10.7856
145Eu,Eu,63,82,145,1199.044788,0.0030595,3.0595
146Eu,Eu,63,83,146,1206.2421742,0.0060152,6.0152
147Eu,Eu,63,84,147,1214.7405123,0.0025725,2.5725
148Eu,Eu,63,85,148,1221.564694,0.0099604,9.9604
149Eu,Eu,63,86,149,1229.779844,0.0039038,3.9038
150Eu,Eu,63,87,150,1236.202215,0.006225,6.225
151Eu,Eu,63,88,151,1244.1342698,0.0011627,1.1627
152Eu,Eu,63,89,152,1250.4409808,0.0011704,1.1704
153Eu,Eu,63,90,153,1258.9912683,0.0011781,1.1781
154Eu,Eu,63,91,154,1265.4334924,0.0011858,1.1858
155Eu,Eu,63,92,155,1273.58478,0.0012555,1.2555
156Eu,Eu,63,93,156,1279.9205952,0.0035256,3.5256
157Eu,Eu,63,94,157,1287.3682075,0.004239,4.239
158Eu,Eu,63,95,158,1293.250856,0.0020382,2.0382
159Eu,Eu,63,96,159,1300.0950933,0.0043248,4.3248
160Eu,Eu,63,97,160,1305.61648,0.000912,0.912
161Eu,Eu,63,98,161,1311.985941,0.0104006,10.4006
162Eu,Eu,63,99,162,1316.9886066,0.0013122,1.3122
163Eu,Eu,63,100,163,1322.9108036,0.0009128,0.9128
164Eu,Eu,63,101,164,1327.6404504,0.0020664,2.0664
165Eu,Eu,63,102,165,1333.2087285,0.005214,5.214
140Gd,Gd,64,76,140,1141.696598,0.027944,27.944
141Gd,Gd,64,77,141,1151.209869,0.0197541,19.7541
142Gd,Gd,64,78,142,1163.0164798,0.0279456,27.9456
143Gd,Gd,64,79,143,1172.3595884,0.2003001,200.3001
144Gd,Gd,64,80,144,1183.9591008,0.0279504,27.9504
145Gd,Gd,64,81,145,1193.1975325,0.01972,19.72
146Gd,Gd,64,82,146,1204.4280512,0.0040734,4.073399999999999
147Gd,Gd,64,83,147,1211.7704802,0.0018816,1.8816
148Gd,Gd,64,84,148,1220.7542904,0.0014652,1.4652
149Gd,Gd,64,85,149,1227.6833544,0.0033078,3.3078
150Gd,Gd,64,86,150,1236.391545,0.00606,6.06
151Gd,Gd,64,87,151,1242.8877346,0.0029898,2.9898
152Gd,Gd,64,88,152,1251.4774384,0.0010032,1.0032
153Gd,Gd,64,89,153,1257.7243977,0.0010098,1.0098
154Gd,Gd,64,90,154,1266.6191384,0.001001,1.001
155Gd,Gd,64,91,155,1273.0543855,0.0009765,0.9765
156Gd,Gd,64,92,156,1281.5907468,0.0009828,0.9828
157Gd,Gd,64,93,157,1287.9506304,0.0009734,0.9734
158Gd,Gd,64,94,158,1295.8880182,0.0009796,0.9795999999999999
159Gd,Gd,64,95,159,1301.8312143,0.0009858,0.9858
160Gd,Gd,64,96,160,1309.282736,0.00112,1.12
161Gd,Gd,64,97,161,1314.9181374,0.0014973,1.4973
162Gd,Gd,64,98,162,1321.7640426,0.003969,3.969
163Gd,Gd,64,99,163,1326.943228,0.0007987,0.7987
164Gd,Gd,64,100,164,1333.3196392,0.0010004,1.0004
165Gd,Gd,64,101,165,1338.223062,0.0013035,1.3035
166Gd,Gd,64,102,166,1344.139516,0.001577,1.577
167Gd,Gd,64,103,167,1348.6156476,0.0052104,5.2104
140Tb,Tb,65,75,140,1129.614248,0.800492,800.492
141Tb,Tb,65,76,141,1141.7441301,0.1052565,105.2565
142Tb,Tb,65,77,142,1151.834136,0.700557,700.557
143Tb,Tb,65,78,143,1163.7651168,0.0512369,51.2369
144Tb,Tb,65,79,144,1173.7854288,0.0279504,27.9504
145Tb,Tb,65,80,145,1185.8882565,0.110896,110.896
146Tb,Tb,65,81,146,1195.3235204,0.0448658,44.8658
147Tb,Tb,65,82,147,1206.373875,0.0080997,8.0997
148Tb,Tb,65,83,148,1214.2394636,0.0124616,12.4616
149Tb,Tb,65,84,149,1223.2624797,0.0036356,3.6356
150Tb,Tb,65,85,150,1230.95094,0.007365,7.365
151Tb,Tb,65,86,151,1239.5400193,0.0040921,4.0921
152Tb,Tb,65,87,152,1246.7050944,0.0400064,40.0064
153Tb,Tb,65,88,153,1255.3727112,0.0039474,3.9474
154Tb,Tb,65,89,154,1262.2871338,0.0453068,45.3068
155Tb,Tb,65,90,155,1271.4521815,0.009827,9.827
156Tb,Tb,65,91,156,1278.364074,0.0037752,3.7752
157Tb,Tb,65,92,157,1287.1082312,0.0010205,1.0205
158Tb,Tb,65,93,158,1293.8865848,0.001264,1.264
159Tb,Tb,65,94,159,1302.0195975,0.0010971,1.0971
160Tb,Tb,65,95,160,1308.394816,0.001104,1.104
161Tb,Tb,65,96,161,1316.0914249,0.0012236,1.2236
162Tb,Tb,65,97,162,1322.5805226,0.0020574,2.0574
163Tb,Tb,65,98,163,1329.3680486,0.0040587,4.0587
164Tb,Tb,65,99,164,1334.9485856,0.0018696,1.8696
165Tb,Tb,65,100,165,1341.5037735,0.0015345,1.5345
166Tb,Tb,65,101,166,1346.795018,0.0014608,1.4608
167Tb,Tb,65,102,167,1352.940647,0.0019372,1.9372
168Tb,Tb,65,103,168,1357.910064,0.0042,4.2
143Dy,Dy,66,77,143,1154.7325361,0.0130416,13.0416
144Dy,Dy,66,78,144,1167.2049888,0.0071712,7.1712
145Dy,Dy,66,79,145,1176.948818,0.006525,6.525
146Dy,Dy,66,80,146,1189.3324688,0.0067014,6.7014
147Dy,Dy,66,81,147,1199.044896,0.0088494,8.849400000000001
148Dy,Dy,66,82,148,1210.779564,0.0087172,8.7172
149Dy,Dy,66,83,149,1218.6854828,0.0091784,9.1784
150Dy,Dy,66,84,150,1228.372425,0.00432,4.32
151Dy,Dy,66,85,151,1235.8865139,0.0032465,3.2465
152Dy,Dy,66,86,152,1245.3233992,0.0045904,4.5904
153Dy,Dy,66,87,153,1252.4199642,0.0040086,4.0086
154Dy,Dy,66,88,154,1261.742097,0.0074382,7.4382
155Dy,Dy,66,89,155,1268.575335,0.009641,9.641
156Dy,Dy,66,90,156,1278.0201096,0.0009828,0.9828
157Dy,Dy,66,91,157,1284.9867059,0.0051496,5.1496
158Dy,Dy,66,92,158,1294.0405084,0.0023384,2.3384
159Dy,Dy,66,93,159,1300.8718878,0.0014469,1.4469
160Dy,Dy,66,94,160,1309.448416,0.000704,0.704
161Dy,Dy,66,95,161,1315.9027973,0.0006923,0.6922999999999999
162Dy,Dy,66,96,162,1324.099791,0.0006966,0.6966
163Dy,Dy,66,97,163,1330.370792,0.0007009,0.7009
164Dy,Dy,66,98,164,1338.0289156,0.0006888,0.6888000000000001
165Dy,Dy,66,99,165,1343.7448695,0.000693,0.6930000000000001
166Dy,Dy,66,100,166,1350.7883638,0.0007968,0.7968
167Dy,Dy,66,101,167,1356.1866594,0.004008,4.008
168Dy,Dy,66,102,168,1362.9049224,0.1400112,140.0112
169Dy,Dy,66,103,169,1368.0138654,0.3006679,300.6679
144Ho,Ho,67,77,144,1154.4620688,0.0084816,8.4816
145Ho,Ho,67,78,145,1167.043984,0.007453,7.453
146Ho,Ho,67,79,146,1177.2334196,0.0065846,6.5846
147Ho,Ho,67,80,147,1189.8236007,0.004998,4.998
148Ho,Ho,67,81,148,1200.1289956,0.0838272,83.8272
149Ho,Ho,67,82,149,1211.854995,0.0119796,11.9796
150Ho,Ho,67,83,150,1220.226345,0.014175,14.175
151Ho,Ho,67,84,151,1229.9745317,0.008305,8.305
152Ho,Ho,67,85,152,1238.0277336,0.0125248,12.5248
153Ho,Ho,67,86,153,1247.5064916,0.0050643,5.0643
154Ho,Ho,67,87,154,1255.205105,0.0082236,8.2236
155Ho,Ho,67,88,155,1264.6768525,0.0174685,17.4685
156Ho,Ho,67,89,156,1272.246768,0.0384228,38.4228
157Ho,Ho,67,90,157,1281.6125561,0.0234715,23.4715
158Ho,Ho,67,91,158,1289.0384022,0.0271128,27.1128
159Ho,Ho,67,92,159,1298.2519494,0.0030528,3.0528
160Ho,Ho,67,93,160,1305.376064,0.015024,15.024
161Ho,Ho,67,94,161,1314.2612574,0.0021574,2.1574
162Ho,Ho,67,95,162,1321.1768412,0.0031104,3.1104
163Ho,Ho,67,96,163,1329.585621,0.0007009,0.7009
164Ho,Ho,67,97,164,1336.2594376,0.001394,1.394
165Ho,Ho,67,98,165,1344.2482515,0.000792,0.7919999999999999
166Ho,Ho,67,99,166,1350.4918878,0.0007802,0.7802
167Ho,Ho,67,100,167,1357.7723244,0.0051937,5.1937
168Ho,Ho,67,101,168,1363.6234248,0.0300048,30.0048
169Ho,Ho,67,102,169,1370.4315118,0.0200434,20.0434
170Ho,Ho,67,103,170,1375.944334,0.050014,50.014
171Ho,Ho,67,104,171,1382.2959591,0.6000048,600.0048
146Er,Er,68,78,146,1169.5348542,0.0067014,6.7014
147Er,Er,68,79,147,1179.891972,0.0381906,38.1906
148Er,Er,68,80,148,1192.8344752,0.0102416,10.2416
149Er,Er,68,81,149,1203.1684142,0.0279375,27.9375
150Er,Er,68,82,150,1215.32943,0.01719,17.19
151Er,Er,68,83,151,1223.8357173,0.0164741,16.4741
152Er,Er,68,84,152,1234.140972,0.0088312,8.8312
153Er,Er,68,85,153,1242.1787562,0.0092871,9.287099999999999
154Er,Er,68,86,154,1252.3883526,0.0049588,4.9588
155Er,Er,68,87,155,1260.063882,0.006076,6.076
156Er,Er,68,88,156,1270.1377104,0.0246324,24.6324
157Er,Er,68,89,157,1277.4109849,0.0265016,26.5016
158Er,Er,68,90,158,1287.372466,0.0252168,25.2168
159Er,Er,68,91,159,1294.7010978,0.0036411,3.6411
160Er,Er,68,92,160,1304.275472,0.02424,24.24
161Er,Er,68,93,161,1311.4839108,0.0087745,8.7745
162Er,Er,68,94,162,1320.6881358,0.0007614,0.7614
163Er,Er,68,95,163,1327.5926689,0.0046292,4.6292
164Er,Er,68,96,164,1336.4391324,0.0007052,0.7052
165Er,Er,68,97,165,1343.089242,0.000924,0.924
166Er,Er,68,98,166,1351.5633514,0.000332,0.332
167Er,Er,68,99,167,1357.9997784,0.0002839,0.2839
168Er,Er,68,100,168,1365.7710696,0.0002688,0.2688
169Er,Er,68,101,169,1371.7743182,0.0003042,0.3042
170Er,Er,68,102,170,1379.031993,0.001394,1.394
171Er,Er,68,103,171,1384.7136084,0.0014022,1.4022
172Er,Er,68,104,172,1391.5496944,0.003956,3.956
147Tm,Tm,69,78,147,1168.4762166,0.0068355,6.835500000000001
148Tm,Tm,69,79,148,1179.3381628,0.0102416,10.2416
151Tm,Tm,69,82,151,1215.5586976,0.0193733,19.3733
152Tm,Tm,69,83,152,1224.5786824,0.0540208,54.0208
153Tm,Tm,69,84,153,1234.9023363,0.0119799,11.9799
154Tm,Tm,69,85,154,1243.428186,0.0144144,14.4144
155Tm,Tm,69,86,155,1253.69828,0.00992,9.92
156Tm,Tm,69,87,156,1261.9780992,0.014274,14.274
157Tm,Tm,69,88,157,1271.9242745,0.027946,27.946
158Tm,Tm,69,89,158,1279.9895052,0.0252168,25.2168
159Tm,Tm,69,90,159,1289.9280291,0.0279522,27.9522
160Tm,Tm,69,91,160,1297.729984,0.032688,32.688
161Tm,Tm,69,92,161,1307.3989866,0.0279496,27.9496
162Tm,Tm,69,93,162,1315.0490616,0.0260658,26.0658
163Tm,Tm,69,94,163,1324.3713162,0.0055094,5.5094
164Tm,Tm,69,95,164,1331.6231576,0.02501,25.01
165Tm,Tm,69,96,165,1340.7155685,0.0016665,1.6665
166Tm,Tm,69,97,166,1347.7433262,0.0115536,11.5536
167Tm,Tm,69,98,167,1356.4712942,0.0012525,1.2525
168Tm,Tm,69,99,168,1363.3118688,0.00168,1.68
169Tm,Tm,69,100,169,1371.3454638,0.0007436,0.7435999999999999
170Tm,Tm,69,101,170,1377.937448,0.000731,0.731
171Tm,Tm,69,102,171,1385.4237201,0.0009747,0.9747
172Tm,Tm,69,103,172,1391.6583124,0.0054868,5.4868
173Tm,Tm,69,104,173,1398.6121509,0.0043942,4.3942
174Tm,Tm,69,105,174,1404.2919168,0.044718,44.718
175Tm,Tm,69,106,175,1410.8092775,0.0499975,49.9975
176Tm,Tm,69,107,176,1415.9413664,0.1000032,100.0032
151Yb,Yb,70,81,151,1205.5470956,0.30049,300.49
152Yb,Yb,70,82,152,1218.3464392,0.1497048,149.7048
154Yb,Yb,70,84,154,1238.1507908,0.0172788,17.2788
155Yb,Yb,70,85,155,1246.792627,0.0166005,16.6005
156Yb,Yb,70,86,156,1257.6268692,0.0093132,9.3132
157Yb,Yb,70,87,157,1265.8525507,0.0109115,10.9115
158Yb,Yb,70,88,158,1276.5135842,0.007979,7.979
159Yb,Yb,70,89,159,1284.4088052,0.0175854,17.5854
160Yb,Yb,70,90,160,1294.809824,0.005488,5.488
161Yb,Yb,70,91,161,1302.5521621,0.0151018,15.1018
162Yb,Yb,70,92,162,1312.6103946,0.0150984,15.0984
163Yb,Yb,70,93,163,1320.1544247,0.0151101,15.1101
164Yb,Yb,70,94,164,1329.9440436,0.0151044,15.1044
165Yb,Yb,70,95,165,1337.2985835,0.026532,26.532
166Yb,Yb,70,96,166,1346.6682106,0.0070052,7.005199999999999
167Yb,Yb,70,97,167,1353.735734,0.0039579,3.9579
168Yb,Yb,70,98,168,1362.797016,0.0001008,0.1008
169Yb,Yb,70,99,169,1369.6639814,0.0001859,0.1859
170Yb,Yb,70,100,170,1378.123717,5.1e-05,0.051
171Yb,Yb,70,101,171,1384.7379246,5.13e-05,0.0513
172Yb,Yb,70,102,172,1392.757874,5.16e-05,0.0516
173Yb,Yb,70,103,173,1399.1249748,5.19e-05,0.0519
174Yb,Yb,70,104,174,1406.5895694,5.22e-05,0.0522
175Yb,Yb,70,105,175,1412.4119275,8.75e-05,0.0875
176Yb,Yb,70,106,176,1419.2790128,5.28e-05,0.0528
177Yb,Yb,70,107,177,1424.8454157,0.0002301,0.2301
178Yb,Yb,70,108,178,1431.6074708,0.006586,6.585999999999999
153Lu,Lu,71,82,153,1217.7404946,0.1500165,150.0165
155Lu,Lu,71,84,155,1238.0527195,0.019251,19.251
156Lu,Lu,71,85,156,1247.2785312,0.0541164,54.1164
157Lu,Lu,71,86,157,1258.0901096,0.0120733,12.0733
158Lu,Lu,71,87,158,1266.933823,0.0151206,15.1206
159Lu,Lu,71,88,159,1277.5015431,0.0376671,37.6671
160Lu,Lu,71,89,160,1286.134192,0.056816,56.816
161Lu,Lu,71,90,161,1296.4979181,0.0279496,27.9496
162Lu,Lu,71,91,162,1304.8386552,0.0750384,75.03840000000001
163Lu,Lu,71,92,163,1314.8696224,0.0279382,27.9382
164Lu,Lu,71,93,164,1322.7919052,0.0279456,27.9456
165Lu,Lu,71,94,165,1332.66309,0.026532,26.532
166Lu,Lu,71,95,166,1340.3131496,0.0298136,29.8136
167Lu,Lu,71,96,167,1349.8897574,0.0372577,37.2577
168Lu,Lu,71,97,168,1357.5076368,0.037968,37.968
169Lu,Lu,71,98,169,1366.5886377,0.0030082,3.0082
170Lu,Lu,71,99,170,1373.883662,0.016847,16.847
171Lu,Lu,71,100,171,1382.4772191,0.0018639,1.8639
172Lu,Lu,71,101,172,1389.4561448,0.0023392,2.3392
173Lu,Lu,71,102,173,1397.6723976,0.0015743,1.5743
174Lu,Lu,71,103,174,1404.432996,0.001566,1.566
175Lu,Lu,71,104,175,1412.09971,0.0012075,1.2075
176Lu,Lu,71,105,176,1418.3876784,0.0012144,1.2144
177Lu,Lu,71,106,177,1425.4605615,0.0012213,1.2213
178Lu,Lu,71,107,178,1431.4858612,0.0022606,2.2606
179Lu,Lu,71,108,179,1438.2783176,0.0051552,5.155200000000001
180Lu,Lu,71,109,180,1443.967092,0.070722,70.722
181Lu,Lu,71,110,181,1450.1593481,0.1257588,125.7588
183Lu,Lu,71,112,183,1461.2206875,0.0801174,80.1174
156Hf,Hf,72,84,156,1240.6161456,0.1497444,149.7444
158Hf,Hf,72,86,158,1261.0416712,0.0174906,17.4906
159Hf,Hf,72,87,159,1269.863199,0.0168063,16.8063
160Hf,Hf,72,88,160,1281.020656,0.009536,9.536
161Hf,Hf,72,89,161,1289.4690445,0.0234577,23.4577
162Hf,Hf,72,90,162,1300.3929702,0.0089586,8.9586
163Hf,Hf,72,91,163,1308.5651736,0.0256888,25.6888
164Hf,Hf,72,92,164,1319.1855288,0.0158096,15.8096
165Hf,Hf,72,93,165,1327.074012,0.027951,27.951
166Hf,Hf,72,94,166,1337.3688076,0.0279378,27.9378
167Hf,Hf,72,95,167,1345.048895,0.0279391,27.9391
168Hf,Hf,72,96,168,1355.0130048,0.0279384,27.9384
169Hf,Hf,72,97,169,1362.4406679,0.0279526,27.9526
170Hf,Hf,72,98,170,1372.048954,0.027948,27.948
171Hf,Hf,72,99,171,1379.2977477,0.0288819,28.8819
172Hf,Hf,72,100,172,1388.3399508,0.024424,24.424
173Hf,Hf,72,101,173,1395.4208372,0.0279395,27.9395
174Hf,Hf,72,102,174,1403.9249334,0.002262,2.262
175Hf,Hf,72,103,175,1410.6334375,0.002275,2.275
176Hf,Hf,72,104,176,1418.7994304,0.0014784,1.4784
177Hf,Hf,72,105,177,1425.1750605,0.001416,1.416
178Hf,Hf,72,106,178,1432.8009964,0.001424,1.424
179Hf,Hf,72,107,179,1438.8999846,0.0014141,1.4141
180Hf,Hf,72,108,180,1446.287742,0.001422,1.422
181Hf,Hf,72,109,181,1451.982543,0.0014299,1.4299
182Hf,Hf,72,110,182,1458.7005342,0.0061698,6.1698
183Hf,Hf,72,111,183,1464.0057645,0.0300486,30.0486
184Hf,Hf,72,112,184,1470.2929952,0.0397072,39.7072
185Hf,Hf,72,113,185,1475.1846535,0.064269,64.269
186Hf,Hf,72,114,186,1481.3603952,0.0512244,51.2244
157Ta,Ta,73,84,157,1239.6815456,0.1500449,150.0449
159Ta,Ta,73,86,159,1260.6674022,0.0196842,19.6842
160Ta,Ta,73,87,160,1270.123264,0.05432,54.32
161Ta,Ta,73,88,161,1281.14945,0.0243754,24.3754
162Ta,Ta,73,89,162,1290.2235984,0.0633258,63.3258
163Ta,Ta,73,90,163,1301.0481515,0.0380605,38.0605
164Ta,Ta,73,91,164,1309.8676392,0.0279456,27.9456
165Ta,Ta,73,92,165,1320.5040255,0.0135795,13.5795
166Ta,Ta,73,93,166,1328.8252524,0.0279378,27.9378
167Ta,Ta,73,94,167,1339.1498538,0.0279391,27.9391
168Ta,Ta,73,95,168,1347.2640216,0.0279384,27.9384
169Ta,Ta,73,96,169,1357.2318513,0.0279526,27.9526
170Ta,Ta,73,97,170,1365.150405,0.027948,27.948
171Ta,Ta,73,98,171,1374.8043294,0.0279414,27.9414
172Ta,Ta,73,99,172,1382.4853632,0.02795,27.95
173Ta,Ta,73,100,173,1391.623245,0.0279395,27.9395
174Ta,Ta,73,101,174,1399.0387872,0.0279444,27.9444
175Ta,Ta,73,102,175,1407.77798,0.0279475,27.9475
176Ta,Ta,73,103,176,1414.8060256,0.0307472,30.7472
177Ta,Ta,73,104,177,1423.2267153,0.0033099,3.3099
179Ta,Ta,73,106,179,1438.0120551,0.0014678,1.4678
180Ta,Ta,73,107,180,1444.659552,0.00207,2.07
181Ta,Ta,73,108,181,1452.236305,0.0015747,1.5747
182Ta,Ta,73,109,182,1458.2992424,0.0015834,1.5834
183Ta,Ta,73,110,183,1465.23342,0.0015921,1.5921
184Ta,Ta,73,111,184,1470.850644,0.0260176,26.0176
185Ta,Ta,73,112,185,1477.4768775,0.0141525,14.1525
186Ta,Ta,73,113,186,1482.7614402,0.0600036,60.0036
187Ta,Ta,73,114,187,1489.1207001,0.0558943,55.8943
160W,W,74,86,160,1262.846288,0.149808,149.808
162W,W,74,88,162,1283.6590668,0.017658,17.658
163W,W,74,89,163,1292.6396009,0.0584192,58.4192
164W,W,74,90,164,1304.038046,0.009676,9.676
165W,W,74,91,165,1312.735116,0.0257565,25.7565
166W,W,74,92,166,1323.8325866,0.009462,9.462
167W,W,74,93,167,1332.1096515,0.018704,18.704
168W,W,74,94,168,1342.9806936,0.0132552,13.2552
169W,W,74,95,169,1351.0769389,0.0154297,15.4297
170W,W,74,96,170,1361.521194,0.013192,13.192
171W,W,74,97,171,1369.3878018,0.0279414,27.9414
172W,W,74,98,172,1379.4702204,0.02795,27.95
173W,W,74,99,173,1387.1717301,0.0279395,27.9395
174W,W,74,100,174,1396.7427528,0.0279444,27.9444
175W,W,74,101,175,1404.219775,0.0279475,27.9475
176W,W,74,102,176,1413.2999056,0.0279488,27.9488
177W,W,74,103,177,1420.4313543,0.0279483,27.9483
178W,W,74,104,178,1429.2079952,0.0152012,15.2012
179W,W,74,105,179,1436.1674959,0.0145706,14.5706
180W,W,74,106,180,1444.579812,0.00144,1.44
181W,W,74,107,181,1451.2488414,0.001448,1.448
182W,W,74,108,182,1459.3323472,0.0007462,0.7462000000000001
183W,W,74,109,183,1465.5231822,0.0007503,0.7503
184W,W,74,110,184,1472.9342968,0.000736,0.736
185W,W,74,111,185,1478.6880355,0.00074,0.74
186W,W,74,112,186,1485.8800836,0.001209,1.209
187W,W,74,113,187,1491.3468416,0.0012155,1.2155
188W,W,74,114,188,1498.1820016,0.0030832,3.0832
190W,W,74,116,190,1510.025589,0.035397,35.397
191W,W,74,117,191,1514.9042569,0.0419245,41.9245
161Re,Re,75,86,161,1261.6490012,0.1499071,149.9071
163Re,Re,75,88,163,1282.9510765,0.0185331,18.5331
164Re,Re,75,89,164,1292.4925772,0.0545464,54.5464
165Re,Re,75,90,165,1303.7508165,0.023595,23.595
166Re,Re,75,91,166,1313.0001072,0.0882456,88.2456
168Re,Re,75,93,168,1333.1002944,0.030828,30.828
169Re,Re,75,94,169,1343.7859747,0.0113737,11.3737
170Re,Re,75,95,170,1352.35204,0.011424,11.424
171Re,Re,75,96,171,1362.7696401,0.0279414,27.9414
172Re,Re,75,97,172,1371.157512,0.0355696,35.5696
173Re,Re,75,98,173,1381.2158764,0.0279395,27.9395
174Re,Re,75,99,174,1389.4064256,0.0279444,27.9444
175Re,Re,75,100,175,1399.09294,0.0279475,27.9475
176Re,Re,75,101,176,1406.9388432,0.0279488,27.9488
177Re,Re,75,102,177,1416.2164533,0.0279483,27.9483
178Re,Re,75,103,178,1423.6720528,0.027946,27.946
179Re,Re,75,104,179,1432.6742214,0.0246304,24.6304
180Re,Re,75,105,180,1439.998596,0.021384,21.384
181Re,Re,75,106,181,1448.7499554,0.0125433,12.5433
182Re,Re,75,107,182,1455.7500048,0.1019746,101.9746
183Re,Re,75,108,183,1464.1848483,0.0080337,8.0337
184Re,Re,75,109,184,1470.6663128,0.0042688,4.2688
185Re,Re,75,110,185,1478.3368685,0.000814,0.8140000000000001
186Re,Re,75,111,186,1484.5164618,0.0008184,0.8184
187Re,Re,75,112,187,1491.8770053,0.0007293,0.7293
188Re,Re,75,113,188,1497.7486428,0.0007332,0.7332000000000001
189Re,Re,75,114,189,1504.7821845,0.0081837,8.1837
190Re,Re,75,115,190,1510.457421,0.004864,4.864
191Re,Re,75,116,191,1517.2961308,0.0102567,10.2567
192Re,Re,75,117,192,1522.6058688,0.0707904,70.7904
193Re,Re,75,118,193,1529.3199954,0.0391211,39.1211
164Os,Os,76,88,164,1284.662512,0.149896,149.896
166Os,Os,76,90,166,1305.8119586,0.0179612,17.9612
167Os,Os,76,91,167,1314.9506019,0.0808948,80.8948
168Os,Os,76,92,168,1326.5180544,0.0098952,9.895199999999999
169Os,Os,76,93,169,1335.3173678,0.0259415,25.9415
170Os,Os,76,94,170,1346.591386,0.009758,9.758
171Os,Os,76,95,171,1355.0342499,0.0182457,18.2457
172Os,Os,76,96,172,1366.0519672,0.0127624,12.7624
173Os,Os,76,97,173,1374.3178993,0.0149645,14.9645
174Os,Os,76,98,174,1384.9463532,0.0102486,10.2486
175Os,Os,76,99,175,1393.127645,0.0117775,11.7775
176Os,Os,76,100,176,1403.2247856,0.0109472,10.9472
177Os,Os,76,101,177,1411.1213667,0.0146202,14.6202
178Os,Os,76,102,178,1420.7804784,0.0136348,13.6348
179Os,Os,76,103,179,1428.3277076,0.0155014,15.5014
180Os,Os,76,104,180,1437.735078,0.015714,15.714
181Os,Os,76,105,181,1445.0001603,0.02534,25.34
182Os,Os,76,106,182,1454.1306234,0.021749,21.749
183Os,Os,76,107,183,1461.2565921,0.049776,49.776
184Os,Os,76,108,184,1469.9167152,0.000828,0.828
185Os,Os,76,109,185,1476.5413695,0.0008325,0.8325
186Os,Os,76,110,186,1484.8068264,0.0007626,0.7626
187Os,Os,76,111,187,1491.0971218,0.0007293,0.7293
188Os,Os,76,112,188,1499.0867328,0.0007332,0.7332000000000001
189Os,Os,76,113,189,1505.0075481,0.0006615,0.6615
190Os,Os,76,114,190,1512.799893,0.000646,0.646
191Os,Os,76,115,191,1518.5586217,0.0006685,0.6685000000000001
192Os,Os,76,116,192,1526.116992,0.0023232,2.3232
193Os,Os,76,117,193,1531.7004188,0.002316,2.316
194Os,Os,76,118,194,1538.8125008,0.0024056,2.4056
195Os,Os,76,119,195,1543.9602555,0.055887,55.887
196Os,Os,76,120,196,1550.7970996,0.0400624,40.0624
167Ir,Ir,77,90,167,1304.7418418,0.0183533,18.3533
168Ir,Ir,77,91,168,1314.4069512,0.0552216,55.2216
169Ir,Ir,77,92,169,1325.9054536,0.0233051,23.3051
171Ir,Ir,77,94,171,1346.3667045,0.0384579,38.4579
172Ir,Ir,77,95,172,1355.4053564,0.0324048,32.40479999999999
173Ir,Ir,77,96,173,1366.365764,0.0105357,10.5357
174Ir,Ir,77,97,174,1374.9545598,0.011223,11.223
175Ir,Ir,77,98,175,1385.63446,0.01239,12.39
176Ir,Ir,77,99,176,1394.1931872,0.0080784,8.0784
