Nuclide,Element,Z,N,A,BE_exp_MeV,sigma_exp_MeV,sigma_exp_keV
55Sc,Sc,21,34,55,458.335317,0.0624085,62.4085
56Sc,Sc,21,35,56,461.0803736,0.2596664,259.6664
57Sc,Sc,21,36,57,465.0154962,0.179778,179.778
58Sc,Sc,21,37,58,467.1867288,0.1900254,190.0254
59Sc,Sc,21,38,59,470.6080307,0.2496408,249.6408
40Ti,Ti,22,18,40,314.634528,0.068244,68.244
41Ti,Ti,22,19,41,329.4099449,0.0279456,27.9456
42Ti,Ti,22,20,42,346.88808,0.0002688,0.2688
43Ti,Ti,22,21,43,359.1706322,0.005719,5.719
44Ti,Ti,22,22,44,375.474946,0.0006996,0.6996
45Ti,Ti,22,23,45,385.0079445,0.000837,0.837
46Ti,Ti,22,24,46,398.1972658,9.2e-05,0.092
47Ti,Ti,22,25,47,407.0779275,7.99e-05,0.0799
48Ti,Ti,22,26,48,418.7045856,7.68e-05,0.0768
49Ti,Ti,22,27,49,426.8469625,7.84e-05,0.0784
50Ti,Ti,22,28,50,437.786135,8.5e-05,0.085
51Ti,Ti,22,29,51,444.1585512,0.0004845,0.4845
52Ti,Ti,22,30,52,451.9746036,0.0027456,2.7456
53Ti,Ti,22,31,53,457.4496568,0.0028885,2.8885
54Ti,Ti,22,32,54,464.3833518,0.0158328,15.8328
55Ti,Ti,22,33,55,468.543328,0.028875,28.875
56Ti,Ti,22,34,56,474.205172,0.1002008,100.2008
57Ti,Ti,22,35,57,477.2553456,0.2058783,205.8783
58Ti,Ti,22,36,58,481.842482,0.183338,183.338
60Ti,Ti,22,38,60,489.167148,0.240324,240.324
43V,V,23,20,43,346.9890547,0.0428495,42.8495
44V,V,23,21,44,360.9520948,0.0072644,7.2644
45V,V,23,22,45,377.101773,0.000864,0.864
46V,V,23,23,46,390.3625458,0.0001334,0.1334
47V,V,23,24,47,403.3650356,0.0001128,0.1128
48V,V,23,25,48,413.9072928,0.0009696,0.9696
49V,V,23,26,49,425.4627615,0.0008232,0.8231999999999999
50V,V,23,27,50,434.79516,9.5e-05,0.095
51V,V,23,28,51,445.8463452,9.69e-05,0.0969
52V,V,23,29,52,453.157588,0.0001612,0.1612
53V,V,23,30,53,461.6375525,0.0031005,3.1005
54V,V,23,31,54,467.7554628,0.011178,11.178
55V,V,23,32,55,475.0536505,0.027016,27.016
56V,V,23,33,56,480.1832336,0.1758848,175.8848
57V,V,23,34,57,486.5062119,0.0847647,84.7647
58V,V,23,35,58,490.573048,0.095816,95.816
59V,V,23,36,59,495.8244006,0.1373992,137.3992
60V,V,23,37,60,499.372506,0.181944,181.944
61V,V,23,38,61,504.5335437,0.2349171,234.9171
62V,V,23,39,62,507.640903,0.2642874,264.2874
63V,V,23,40,63,512.2391967,0.3399984,339.9984
44Cr,Cr,24,20,44,349.783566,0.0512336,51.2336
45Cr,Cr,24,21,45,363.947787,0.035397,35.397
46Cr,Cr,24,22,46,381.9758718,0.011454,11.454
47Cr,Cr,24,23,47,395.1387149,0.0051982,5.1982
48Cr,Cr,24,24,48,411.4682544,0.0073104,7.3104
49Cr,Cr,24,25,49,422.0506073,0.0022001,2.2001
50Cr,Cr,24,26,50,435.05094,9.5e-05,0.095
51Cr,Cr,24,27,51,444.3116073,0.0001683,0.1683
52Cr,Cr,24,28,52,456.3517192,0.0001144,0.1144
53Cr,Cr,24,29,53,464.2911459,0.0001166,0.1166
54Cr,Cr,24,30,54,474.0102288,0.000135,0.135
55Cr,Cr,24,31,55,480.256491,0.000231,0.231
56Cr,Cr,24,32,56,488.5026104,0.0005768,0.5768
57Cr,Cr,24,33,57,493.8137886,0.0018639,1.8639
58Cr,Cr,24,34,58,501.3519246,0.0029812,2.9812
59Cr,Cr,24,35,59,505.5473705,0.0006726,0.6726
60Cr,Cr,24,36,60,512.411256,0.001116,1.116
61Cr,Cr,24,37,61,516.0705774,0.0018605,1.8605
62Cr,Cr,24,38,62,522.4980002,0.0034472,3.4472
63Cr,Cr,24,39,63,525.8950074,0.0726579,72.6579
64Cr,Cr,24,40,64,531.4280064,0.2999424,299.9424
46Mn,Mn,25,21,46,364.139703,0.0866272,86.6272
47Mn,Mn,25,22,47,382.3596499,0.0316686,31.6686
48Mn,Mn,25,23,48,397.1612352,0.0067008,6.7008
49Mn,Mn,25,24,49,413.555835,0.0022148,2.2148
50Mn,Mn,25,25,50,426.634115,0.000115,0.115
51Mn,Mn,25,26,51,440.3217702,0.000306,0.306
52Mn,Mn,25,27,52,450.8612524,0.00013,0.13
53Mn,Mn,25,28,53,462.9115294,0.0003445,0.3445
54Mn,Mn,25,29,54,471.8507472,0.0010044,1.0044
55Mn,Mn,25,30,55,482.0763585,0.0002585,0.2585
56Mn,Mn,25,31,56,489.3468048,0.0002912,0.2912
57Mn,Mn,25,32,57,497.9927322,0.0015048,1.5048
58Mn,Mn,25,33,58,504.4053404,0.0027028,2.7028
59Mn,Mn,25,34,59,512.1744216,0.0023305,2.3305
60Mn,Mn,25,35,60,517.688352,0.002328,2.328
61Mn,Mn,25,36,61,524.5338577,0.0023302,2.3302
62Mn,Mn,25,37,62,529.3870124,0.006541,6.541
63Mn,Mn,25,38,63,535.821426,0.0037233,3.7233
64Mn,Mn,25,39,64,539.99472,0.0035392,3.5392
65Mn,Mn,25,40,65,546.044343,0.0037245,3.7245
66Mn,Mn,25,41,66,549.8987076,0.0111804,11.1804
48Fe,Fe,26,22,48,385.0908192,0.0922176,92.21759999999999
49Fe,Fe,26,23,49,399.9042929,0.0242207,24.2207
50Fe,Fe,26,24,50,417.70134,0.008385,8.385
51Fe,Fe,26,25,51,431.4853827,0.0013974,1.3974
52Fe,Fe,26,26,52,447.6996108,0.000182,0.182
53Fe,Fe,26,27,53,458.3863205,0.0016695,1.6695
54Fe,Fe,26,28,54,471.7647684,0.0003456,0.3456
55Fe,Fe,26,29,55,481.0628955,0.000308,0.308
56Fe,Fe,26,30,56,492.2599528,0.0002688,0.2688
57Fe,Fe,26,31,57,499.9061253,0.0002679,0.2679
58Fe,Fe,26,32,58,509.9506972,0.000319,0.319
59Fe,Fe,26,33,59,516.5317014,0.0003304,0.3304
60Fe,Fe,26,34,60,525.351234,0.003408,3.408
61Fe,Fe,26,35,61,530.9298846,0.0026108,2.6108
62Fe,Fe,26,36,62,538.9587522,0.0027962,2.7962
63Fe,Fe,26,37,63,543.7876437,0.0043029,4.3029
64Fe,Fe,26,38,64,551.1928832,0.0050176,5.0176
65Fe,Fe,26,39,65,555.512555,0.005109,5.109
66Fe,Fe,26,40,66,562.433817,0.0040986,4.0986
67Fe,Fe,26,41,67,566.1457053,0.003819,3.819
50Co,Co,27,23,50,400.031935,0.12575,125.75
51Co,Co,27,24,51,417.8559999,0.0484398,48.4398
52Co,Co,27,25,52,432.9291512,0.0052832,5.2832
53Co,Co,27,26,53,449.3158634,0.0017278,1.7278
54Co,Co,27,27,54,462.7378746,0.0003564,0.3564
55Co,Co,27,28,55,476.829122,0.000407,0.407
56Co,Co,27,29,56,486.9109616,0.000476,0.476
57Co,Co,27,30,57,498.2874165,0.000513,0.513
58Co,Co,27,31,58,506.8603702,0.0011542,1.1542
59Co,Co,27,32,59,517.3142361,0.0003953,0.3953
60Co,Co,27,33,60,524.806152,0.000402,0.402
61Co,Co,27,34,61,534.125211,0.0008418,0.8418
62Co,Co,27,35,62,540.7227514,0.0185752,18.5752
63Co,Co,27,36,63,549.2212236,0.0185724,18.5724
64Co,Co,27,37,64,555.2334272,0.0200064,20.0064
65Co,Co,27,38,65,562.697512,0.00208,2.08
66Co,Co,27,39,66,567.9921654,0.0139722,13.9722
67Co,Co,27,40,67,574.9767274,0.0064454,6.445399999999999
68Co,Co,27,41,68,579.3688468,0.0038556,3.8556
69Co,Co,27,42,69,586.1830278,0.085698,85.698
70Co,Co,27,43,70,590.39386,0.01099,10.99
71Co,Co,27,44,71,596.3101424,0.4650287,465.0287
52Ni,Ni,28,24,52,420.3626804,0.0829036,82.9036
53Ni,Ni,28,25,53,435.5049697,0.0251485,25.1485
54Ni,Ni,28,26,54,453.2237712,0.0046548,4.6548
55Ni,Ni,28,27,55,467.3527375,0.000704,0.704
56Ni,Ni,28,28,56,483.9957416,0.0003976,0.3976
57Ni,Ni,28,29,57,494.2433748,0.0005643,0.5643
58Ni,Ni,28,30,58,506.4596018,0.000348,0.348
59Ni,Ni,28,31,59,515.4588808,0.000354,0.354
60Ni,Ni,28,32,60,526.846614,0.000354,0.354
61Ni,Ni,28,33,61,534.6667141,0.0003538,0.3538
62Ni,Ni,28,34,62,545.262441,0.0004278,0.4278
63Ni,Ni,28,35,63,552.1002165,0.0004284,0.4284
64Ni,Ni,28,36,64,561.7576768,0.0004608,0.4608
65Ni,Ni,28,37,65,567.855756,0.000481,0.481
66Ni,Ni,28,38,66,576.8075676,0.0013992,1.3992
67Ni,Ni,28,39,67,582.6152835,0.0028877,2.8877
68Ni,Ni,28,40,68,590.4077356,0.0029784,2.9784
69Ni,Ni,28,41,69,594.9938862,0.003726,3.726
70Ni,Ni,28,42,70,602.300419,0.002142,2.142
71Ni,Ni,28,43,71,606.5641044,0.0022365,2.2365
72Ni,Ni,28,44,72,613.4552496,0.0022392,2.2392
73Ni,Ni,28,45,73,617.4086617,0.0024236,2.4236
55Cu,Cu,29,26,55,452.869835,0.155562,155.562
56Cu,Cu,29,27,56,467.9354792,0.0063952,6.3952
57Cu,Cu,29,28,57,484.6860822,0.0005016,0.5016
58Cu,Cu,29,29,58,497.1162368,0.0005626,0.5626
59Cu,Cu,29,30,59,509.8781593,0.000531,0.531
60Cu,Cu,29,31,60,519.936282,0.001614,1.614
61Cu,Cu,29,32,61,531.6464028,0.0009516,0.9516
62Cu,Cu,29,33,62,540.5212018,0.0006386,0.6386000000000001
63Cu,Cu,29,34,63,551.3848452,0.0004284,0.4284
64Cu,Cu,29,35,64,559.3007104,0.0004288,0.4288
65Cu,Cu,29,36,65,569.2112855,0.0006435,0.6435
66Cu,Cu,29,37,66,576.277218,0.0006468,0.6468
67Cu,Cu,29,38,67,585.4097999,0.0008911,0.8911
68Cu,Cu,29,39,68,591.7286084,0.0015844,1.5844
69Cu,Cu,29,40,69,599.9691036,0.0014007,1.4007
70Cu,Cu,29,41,70,605.280585,0.001085,1.085
71Cu,Cu,29,42,71,613.0866543,0.001491,1.491
72Cu,Cu,29,43,72,618.2298432,0.0013968,1.3968
73Cu,Cu,29,44,73,625.5056027,0.0019418,1.9418
74Cu,Cu,29,45,74,630.5956842,0.0061494,6.1494
75Cu,Cu,29,46,75,637.1310075,0.00072,0.7200000000000001
76Cu,Cu,29,47,76,641.7137368,0.000912,0.912
77Cu,Cu,29,48,77,647.6662577,0.0012089,1.2089
78Cu,Cu,29,49,78,651.664221,0.0133302,13.3302
79Cu,Cu,29,50,79,657.354102,0.1049831,104.9831
58Zn,Zn,30,28,58,486.9649086,0.0500018,50.0018
59Zn,Zn,30,29,59,499.9530318,0.0007611,0.7611
60Zn,Zn,30,30,60,514.983144,0.000546,0.546
61Zn,Zn,30,31,61,525.2288978,0.0158966,15.8966
62Zn,Zn,30,32,62,538.1193962,0.0006138,0.6138
63Zn,Zn,30,33,63,547.2360558,0.0015624,1.5624
64Zn,Zn,30,34,64,559.0979648,0.0006464,0.6464
65Zn,Zn,30,35,65,567.07729,0.0006435,0.6435
66Zn,Zn,30,36,66,578.135811,0.0007458,0.7458
67Zn,Zn,30,37,67,585.1882778,0.0007571,0.7571
68Zn,Zn,30,38,68,595.386376,0.000782,0.782
69Zn,Zn,30,39,69,601.8684459,0.0007935,0.7935000000000001
70Zn,Zn,30,40,70,611.086602,0.001918,1.918
71Zn,Zn,30,41,71,616.9219607,0.0026554,2.6554
72Zn,Zn,30,42,72,625.8099816,0.0021456,2.1456
73Zn,Zn,30,43,73,631.3292215,0.0018615,1.8615
74Zn,Zn,30,44,74,639.5638478,0.002516,2.516
75Zn,Zn,30,45,75,644.4373575,0.0019575,1.9575
76Zn,Zn,30,46,76,652.252786,0.0014592,1.4592
77Zn,Zn,30,47,77,656.8102849,0.0019712,1.9712
78Zn,Zn,30,48,78,663.57564,0.0019422,1.9422
79Zn,Zn,30,49,79,667.5960175,0.0022278,2.2278
80Zn,Zn,30,50,80,673.883656,0.002584,2.584
81Zn,Zn,30,51,81,676.5060222,0.0050301,5.0301
82Zn,Zn,30,52,82,680.691635,0.003075,3.075
61Ga,Ga,31,30,61,515.2323093,0.0379908,37.9908
62Ga,Ga,31,31,62,528.1559838,0.0006386,0.6386000000000001
63Ga,Ga,31,32,63,540.7873821,0.0013041,1.3041
64Ga,Ga,31,33,64,551.1444288,0.0014272,1.4272
65Ga,Ga,31,34,65,563.0404065,0.000793,0.7929999999999999
66Ga,Ga,31,35,66,572.1779646,0.0010956,1.0956
67Ga,Ga,31,36,67,583.404711,0.0011792,1.1792
68Ga,Ga,31,37,68,591.682926,0.001428,1.428
69Ga,Ga,31,38,69,601.9960062,0.0012006,1.2006
70Ga,Ga,31,39,70,609.649656,0.001204,1.204
71Ga,Ga,31,40,71,618.949955,0.0008094,0.8094
72Ga,Ga,31,41,72,625.4704296,0.0008208,0.8208
