Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
84,154,238,0.29411764705882354,20.58823529411765,38.4047230880316,0.1613643827228219,1093.4714584682815,2,4.0,2.0,5.0,28.0,1.8666666666666667,-0.0449,5.2584,1762.5493
84,155,239,0.29707112970711297,21.09205020920502,38.51222415000313,0.16113901317992946,1091.9442617065017,1,4.0,2.0,5.0,29.0,1.8709677419354838,0.1035,4.9413,1764.6031
84,156,240,0.3,21.6,38.61957538422518,0.16091489743427165,1090.4255611907183,2,4.0,2.0,5.0,28.0,1.8666666666666667,0.288,4.5593,1767.8997
84,157,241,0.3029045643153527,22.112033195020746,38.726777622501196,0.16069202332988053,1088.9152745470917,1,4.0,2.0,5.0,27.0,1.8620689655172413,0.3753,4.1278,1769.7949
84,158,242,0.30578512396694213,22.628099173553718,38.833831688586685,0.16047037887845741,1087.413320537976,2,4.0,2.0,5.0,26.0,1.8571428571428572,0.4196,3.6538,1772.9493
84,159,243,0.30864197530864196,23.14814814814815,38.94073839830002,0.16024995225637872,1085.9196190416324,1,4.0,2.0,5.0,25.0,1.8518518518518519,0.3916,3.2092,1774.7618
84,160,244,0.3114754098360656,23.672131147540984,39.04749855963123,0.16003073180176738,1084.4340910323833,2,4.0,2.0,5.0,24.0,1.8461538461538463,0.3388,2.8049,1777.8976
84,161,245,0.3142857142857143,24.2,39.15411297284888,0.15981270601162811,1082.9566585611992,1,4.0,2.0,5.0,23.0,1.84,0.2485,2.389,1779.5811
84,162,246,0.3170731707317073,24.73170731707317,39.260582430605055,0.15959586353904498,1081.4872447367081,2,4.0,2.0,5.0,22.0,1.8333333333333333,0.0756,1.884,1782.442
84,163,247,0.31983805668016196,25.267206477732792,39.36690771803848,0.15938019319043925,1080.0257737066152,1,4.0,2.0,5.0,21.0,1.826086956521739,0.6119,1.2721,1783.9174
84,164,248,0.3225806451612903,25.806451612903224,39.47308961287589,0.15916568392288669,1078.572170639521,2,4.0,2.0,5.0,20.0,1.8181818181818181,0.4138,0.8381,1786.6731
84,165,249,0.3253012048192771,26.349397590361445,39.57912888553151,0.15895232484149208,1077.1263617071324,1,4.0,2.0,5.0,19.0,1.8095238095238095,0.598,0.7909,1788.0262
84,166,250,0.328,26.896,39.68502629920498,0.15874010519681997,1075.6882740668516,2,4.0,2.0,5.0,18.0,1.8,0.123,1.0776,1790.8086
84,167,251,0.33067729083665337,27.44621513944223,39.7907826099774,0.15852901438238012,1074.257835844736,1,4.0,2.0,5.0,17.0,1.7894736842105263,-0.151,1.15,1792.1281
84,168,252,0.3333333333333333,28.0,39.896398566905845,0.15831904193216612,1072.8349761188197,2,4.0,2.0,5.0,16.0,1.7777777777777777,-0.4741,1.1667,1794.5804
84,169,253,0.3359683794466403,28.557312252964426,40.001874912116236,0.15811017751824602,1071.4196249027857,1,4.0,2.0,5.0,15.0,1.7647058823529411,-0.8979,1.2168,1795.842
84,170,254,0.33858267716535434,29.118110236220474,40.10721238089454,0.15790241094840374,1070.0117131299835,2,4.0,2.0,5.0,14.0,1.75,-1.4455,1.3843,1798.2854
84,171,255,0.3411764705882353,29.68235294117647,40.212411701776524,0.15769573216382957,1068.6111726377799,1,4.0,2.0,5.0,13.0,1.7333333333333334,-1.7802,1.6204,1799.3533
84,172,256,0.34375,30.25,40.317473596635935,0.15749013123685915,1067.2179361522356,2,4.0,2.0,5.0,12.0,1.7142857142857142,-2.1811,1.8964,1801.5059
84,173,257,0.3463035019455253,30.82101167315175,40.42239878077115,0.15728559836875938,1065.8319372731028,1,4.0,2.0,5.0,11.0,1.6923076923076923,-2.3435,1.9135,1802.256
84,174,258,0.3488372093023256,31.3953488372093,40.527187962990446,0.1570821238875599,1064.4531104591308,2,4.0,2.0,5.0,10.0,1.6666666666666667,-2.5385,1.8655,1804.0492
84,175,259,0.35135135135135137,31.972972972972972,40.63184184569578,0.1568796982459297,1063.0813910136758,1,4.0,2.0,5.0,9.0,1.6363636363636365,-2.695,1.738,1804.6298
84,176,260,0.35384615384615387,32.55384615384615,40.73636112496519,0.15667831201909693,1061.7167150706055,2,4.0,2.0,5.0,8.0,1.6,-2.9862,1.6127,1806.3346
84,177,261,0.3563218390804598,33.13793103448276,40.84074649063382,0.1564779559028116,1060.359019580493,1,4.0,2.0,5.0,7.0,1.5555555555555556,-3.2901,1.502,1806.8605
84,178,262,0.35877862595419846,33.725190839694655,40.94499862637359,0.15627862071134963,1059.008242297092,2,4.0,2.0,5.0,6.0,1.5,-3.6748,1.3507,1808.3979
84,179,263,0.3612167300380228,34.31558935361217,41.049118209771585,0.1560802973755574,1057.6643217640863,1,4.0,2.0,5.0,5.0,1.4285714285714286,-3.759,1.1171,1808.597
84,180,264,0.36363636363636365,34.90909090909091,41.15310591240709,0.155882976940936,1056.3271973021058,2,4.0,2.0,5.0,4.0,1.3333333333333333,-3.943,0.924,1809.8284
84,181,265,0.3660377358490566,35.50566037735849,41.256962399927446,0.155686650565764,1054.996808996008,1,4.0,2.0,5.0,3.0,1.2,-4.0988,0.8097,1809.9071
84,182,266,0.3684210526315789,36.10526315789474,41.360688332122564,0.1554913095192578,1053.6730976824106,2,4.0,2.0,5.0,2.0,1.0,-4.365,0.6483,1810.96
