Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
15,15,30,0.0,0.0,9.654893846056297,0.3218297948685433,63.3635178492035,0,1.0,5.0,1.0,5.0,2.5,0.392,0.0011,248.14019404,250.605192,-2.4649979599999767,6.6e-05
16,14,30,-0.0666666666666666,0.1333333333333333,9.654893846056297,0.3218297948685433,72.52715065085741,2,1.0,4.0,1.0,6.0,2.4,-1.4307,0.0215,241.44125016,243.681243,-2.239992839999985,0.000207
17,13,30,-0.1333333333333333,0.5333333333333333,9.654893846056297,0.3218297948685433,82.31731656983825,0,1.0,3.0,1.0,5.0,1.875,-0.519,0.5673,223.9817265,224.165094,-0.1833675000000028,0.023877
10,21,31,0.3548387096774194,3.903225806451613,9.868272403218972,0.3183313678457733,26.62087330680436,1,1.0,2.0,2.0,1.0,0.6666666666666666,-4.2292,2.7533,213.32689998,211.2057962,2.1211037799999986,0.2661939
11,20,31,0.2903225806451613,2.6129032258064515,9.868272403218972,0.3183313678457733,32.59952797025163,1,1.0,3.0,2.0,0.0,0.0,-1.8263,1.189,230.96204311,229.3590118,1.6030313100000058,0.0139717
12,19,31,0.2258064516129032,1.5806451612903225,9.868272403218972,0.3183313678457733,39.19308923039975,1,1.0,4.0,1.0,1.0,0.8,1.0144,1.0257,245.02766288,243.9448466,1.082816280000003,0.0030752
13,18,31,0.1612903225806451,0.8064516129032258,9.868272403218972,0.3183313678457733,46.40278572237071,1,1.0,5.0,1.0,2.0,1.4285714285714286,1.1555,0.6894,254.11968477,254.991058,-0.8713732300000174,0.0022351
14,17,31,0.0967741935483871,0.2903225806451613,9.868272403218972,0.3183313678457733,54.22968597565247,1,1.0,6.0,1.0,3.0,2.0,0.5753,0.1438,259.28803055,262.2070396,-2.91900905,4.34e-05
15,16,31,0.032258064516129,0.032258064516129,9.868272403218972,0.3183313678457733,62.67472940687807,1,1.0,5.0,1.0,4.0,2.2222222222222223,0.5532,0.0049,259.82419301,262.9161987,-3.092005690000008,6.2e-06
16,15,31,-0.032258064516129,0.032258064516129,9.868272403218972,0.3183313678457733,71.73874961475973,1,1.0,4.0,1.0,5.0,2.2222222222222223,-0.1602,0.0053,254.11113783,256.7358403,-2.6247024700000168,0.0002294
17,14,31,-0.0967741935483871,0.2903225806451613,9.868272403218972,0.3183313678457733,81.42249225797659,1,1.0,3.0,1.0,6.0,2.0,-0.9131,0.159,242.09893856,243.9455131,-1.846574540000006,0.0034472
11,21,32,0.3125,3.125,10.079368399158984,0.3149802624737183,32.25634955825016,0,1.0,3.0,2.0,1.0,0.75,-2.6044,2.6015,232.67240717,231.036208,1.636199170000026,0.0372608
12,20,32,0.25,2.0,10.079368399158984,0.3149802624737183,38.78049975561365,2,1.0,4.0,2.0,0.0,0.0,0.878,0.69,251.1174702,249.7229152,1.3945550000000253,0.0032608
13,19,32,0.1875,1.125,10.079368399158984,0.3149802624737183,45.91429906909219,0,1.0,5.0,1.0,1.0,0.8333333333333334,1.4825,0.3999,258.99467624,259.2110368,-0.2163605599999982,0.0071712
14,18,32,0.125,0.5,10.079368399158984,0.3149802624737183,53.65880477965952,2,1.0,6.0,1.0,2.0,1.5,0.5362,0.2986,268.8528649,271.407008,-2.554143100000033,0.0002976
15,17,32,0.0625,0.125,10.079368399158984,0.3149802624737183,62.01494641461812,0,1.0,5.0,1.0,3.0,1.875,1.4976,0.1074,268.22767855,270.8518496,-2.6241710499999726,4.16e-05
16,16,32,0.0,0.0,10.079368399158984,0.3149802624737183,70.98354879730523,2,1.0,4.0,1.0,4.0,2.0,0.3935,0.0149,269.52917447,271.7801632,-2.2509887300000173,6.4e-06
17,15,32,-0.0625,0.125,10.079368399158984,0.3149802624737183,80.56534973677832,0,1.0,3.0,1.0,5.0,1.875,0.425,0.1124,256.47740184,258.3169856,-1.8395837599999825,0.0005632
18,14,32,-0.125,0.5,10.079368399158984,0.3149802624737183,90.7610138502651,2,1.0,2.0,1.0,6.0,1.5,-1.1312,0.3557,245.35128087,246.4002848,-1.0490039299999978,0.0017696
11,22,33,0.3333333333333333,3.6666666666666665,10.288276478101777,0.311765953881872,31.92718016613521,1,1.0,3.0,2.0,2.0,1.2,-3.9013,4.3161,235.9836443,233.9675646,2.016079700000006,0.4499121
12,21,33,0.2727272727272727,2.4545454545454546,10.288276478101777,0.311765953881872,38.384752756796665,1,1.0,4.0,2.0,1.0,0.8,-2.0419,1.8614,253.16771286,252.0024606,1.1652522599999884,0.0026631
13,20,33,0.2121212121212121,1.4848484848484849,10.288276478101777,0.311765953881872,45.44575312012595,1,1.0,5.0,2.0,0.0,0.0,0.9404,0.2017,265.44487601,264.6803676,0.7645084099999622,0.0069861
14,19,33,0.1515151515151515,0.7575757575757576,10.288276478101777,0.311765953881872,53.11122774776263,1,1.0,6.0,1.0,1.0,0.8571428571428571,0.6775,0.0993,274.10454462,275.9149668,-1.810422179999989,0.0006996
15,18,33,0.0909090909090909,0.2727272727272727,10.288276478101777,0.311765953881872,61.382096681374826,1,1.0,5.0,1.0,2.0,1.4285714285714286,1.6355,0.2261,278.18127893,280.9556409,-2.7743619699999726,0.001089
16,17,33,0.0303030303030303,0.0303030303030303,10.288276478101777,0.311765953881872,70.25917632714781,1,1.0,4.0,1.0,3.0,1.7142857142857142,1.5654,0.1365,278.32928578,280.4218032,-2.0925174199999788,6.6e-06
17,16,33,-0.0303030303030303,0.0303030303030303,10.288276478101777,0.311765953881872,79.74319696494985,1,1.0,3.0,1.0,4.0,1.7142857142857142,0.9712,0.1442,272.29361614,274.0569381,-1.7633219600000416,0.0003894
18,15,33,-0.0909090909090909,0.2727272727272727,10.288276478101777,0.311765953881872,89.83481642972696,1,1.0,2.0,1.0,5.0,1.4285714285714286,0.3583,0.2554,260.12316585,261.6555447,-1.5323788499999864,0.0003993
11,23,34,0.3529411764705882,4.235294117647059,10.49508462297634,0.3086789594993041,31.61104870727349,0,1.0,3.0,2.0,3.0,1.5,-3.8295,5.3489,236.72819819,234.1388818,2.5893163899999934,0.5994166
12,22,34,0.2941176470588235,2.9411764705882355,10.49508462297634,0.3086789594993041,38.004680735906966,2,1.0,4.0,2.0,2.0,1.3333333333333333,-3.3228,3.4402,258.07649643,256.7133246,1.3631718299999989,0.0068918
13,21,34,0.2352941176470588,1.8823529411764703,10.49508462297634,0.3086789594993041,44.995765612360586,0,1.0,5.0,2.0,1.0,0.8333333333333334,1.3402,0.5834,269.08831868,267.2519204,1.836398279999969,0.0021046
14,20,34,0.1764705882352941,1.0588235294117647,10.49508462297634,0.3086789594993041,52.58533946628996,2,1.0,6.0,2.0,0.0,0.0,-0.1513,0.0176,282.19068411,283.4636406,-1.2729564900000128,0.0008024
15,19,34,0.1176470588235294,0.4705882352941176,10.49508462297634,0.3086789594993041,60.7743132294414,0,1.0,5.0,1.0,1.0,0.8333333333333334,1.7902,0.0681,285.0566735,287.2383104,-2.181636900000001,0.0008092
16,18,34,0.0588235294117647,0.1176470588235294,10.49508462297634,0.3086789594993041,69.56349522423967,2,1.0,4.0,1.0,2.0,1.3333333333333333,1.8664,0.2436,289.94146228,291.8389524,-1.8974901199999863,4.42e-05
17,17,34,0.0,0.0,10.49508462297634,0.3086789594993041,78.95360849958433,0,1.0,3.0,1.0,3.0,1.5,2.099,0.2872,284.63758879,285.5650004,-0.9274116099999788,4.76e-05
18,16,34,-0.0588235294117647,0.1176470588235294,10.49508462297634,0.3086789594993041,88.94530437677629,2,1.0,2.0,1.0,4.0,1.3333333333333333,0.934,0.2629,277.60093524,278.7208616,-1.1199263599999654,7.82e-05
12,23,35,0.3142857142857143,3.4571428571428573,10.699874805650794,0.3057107087328798,37.63922847798487,1,1.0,4.0,2.0,3.0,1.7142857142857142,-2.658,4.5025,259.12666362,257.468183,1.6584806199999775,0.269668
