Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
96,136,232,0.1724137931034483,6.896551724137931,37.75652270956944,0.16274363236883382,1445.4769965774092,2,4.0,14.0,5.0,10.0,5.833333333333333,-2.5496,7.882,1752.86479718
96,139,235,0.1829787234042553,7.868085106382979,38.081312494483804,0.1620481382743992,1439.2996690830698,1,4.0,14.0,5.0,13.0,6.7407407407407405,-2.9458,10.4404,1774.78781036
96,156,252,0.23809523809523808,14.285714285714286,39.896398566905845,0.15831904193216612,1406.1781091039823,2,4.0,14.0,5.0,28.0,9.333333333333334,-2.8705,12.0969,1883.72241098
96,157,253,0.24110671936758893,14.707509881422926,40.001874912116236,0.15811017751824602,1404.3229907111418,1,4.0,14.0,5.0,27.0,9.21951219512195,-2.5531,11.5769,1888.16162515
96,158,254,0.2440944881889764,15.133858267716535,40.10721238089454,0.15790241094840374,1402.4776232888134,2,4.0,14.0,5.0,26.0,9.1,-2.384,11.0374,1894.23184977
97,132,229,0.15283842794759825,5.349344978165939,37.43032990148211,0.1634512222772145,1482.548131774444,1,4.0,15.0,5.0,6.0,4.285714285714286,-0.8147,4.9882,1720.48887486
97,133,230,0.1565217391304348,5.6347826086956525,37.539218229773184,0.16321399230336173,1480.3963898074135,0,4.0,15.0,5.0,7.0,4.7727272727272725,-1.0267,5.8002,1728.25179167
97,134,231,0.16017316017316016,5.926406926406926,37.64794886261285,0.16297813360438468,1478.2570856856116,1,4.0,15.0,5.0,8.0,5.217391304347826,-1.586,6.6387,1737.36469125
97,135,232,0.16379310344827586,6.224137931034483,37.75652270956944,0.16274363236883382,1476.1300941353431,0,4.0,15.0,5.0,9.0,5.625,-1.8937,7.3719,1744.84783766
97,136,233,0.16738197424892703,6.527896995708154,37.86494067106982,0.1625104749831323,1474.0152916776722,1,4.0,15.0,5.0,10.0,6.0,-2.2601,8.155,1753.67709029
97,137,234,0.17094017094017094,6.837606837606837,37.97320363853009,0.1622786480279064,1471.9125565951394,0,4.0,15.0,5.0,11.0,6.346153846153846,-2.4008,9.0682,1760.88685251
97,138,235,0.17446808510638298,7.153191489361702,38.081312494483804,0.1620481382743992,1469.8217688992345,1,4.0,15.0,5.0,12.0,6.666666666666667,-2.6758,9.9797,1769.43889299
97,139,236,0.17796610169491525,7.47457627118644,38.189268112707936,0.1618189326809659,1467.7428102986034,0,4.0,15.0,5.0,13.0,6.964285714285714,-2.7686,10.7517,1776.38145898
97,140,237,0.18143459915611815,7.801687763713081,38.29707135834644,0.1615910183896475,1465.675564167977,1,4.0,15.0,5.0,14.0,7.241379310344827,-2.9372,11.5096,1784.66252241
97,141,238,0.18487394957983194,8.134453781512605,38.4047230880316,0.1613643827228219,1463.6199155177887,0,4.0,15.0,5.0,15.0,7.5,-3.3261,12.2512,1791.34388957
97,142,239,0.18828451882845187,8.472803347280335,38.51222415000313,0.16113901317992946,1461.5757509644802,1,4.0,15.0,5.0,16.0,7.741935483870968,-3.7731,12.9014,1799.36001921
97,143,240,0.19166666666666668,8.816666666666666,38.61957538422518,0.16091489743427165,1459.5429587014605,0,4.0,15.0,5.0,17.0,7.96875,-3.7269,13.2123,1805.78600174
97,144,241,0.1950207468879668,9.16597510373444,38.726777622501196,0.16069202332988053,1457.5214284707135,1,4.0,15.0,5.0,18.0,8.181818181818182,-3.8119,13.4655,1813.54305642
97,145,242,0.19834710743801653,9.520661157024794,38.833831688586685,0.16047037887845741,1455.5110515350293,0,4.0,15.0,5.0,19.0,8.382352941176471,-3.9524,13.6605,1819.7192924
97,155,252,0.23015873015873015,13.34920634920635,39.896398566905845,0.15831904193216612,1435.9978259616398,0,4.0,15.0,5.0,29.0,9.886363636363637,-3.2968,13.0164,1882.13226068
97,156,253,0.233201581027668,13.75889328063241,40.001874912116236,0.15811017751824602,1434.1033675272683,1,4.0,15.0,5.0,28.0,9.767441860465116,-3.0699,12.5421,1888.44842712
97,157,254,0.23622047244094488,14.173228346456693,40.10721238089454,0.15790241094840374,1432.218866844597,0,4.0,15.0,5.0,27.0,9.642857142857142,-2.8026,12.0081,1893.23552648
97,158,255,0.23921568627450981,14.592156862745098,40.212411701776524,0.15769573216382957,1430.344232677419,1,4.0,15.0,5.0,26.0,9.512195121951219,-2.6393,11.4519,1899.32902257
98,135,233,0.15879828326180256,5.875536480686695,37.86494067106982,0.1625104749831323,1504.9468943400461,1,4.0,16.0,5.0,9.0,5.76,-1.7487,7.5682,1746.92110618
98,136,234,0.1623931623931624,6.170940170940171,37.97320363853009,0.1622786480279064,1502.800034229473,2,4.0,16.0,5.0,10.0,6.153846153846154,-2.1944,8.3597,1756.12767302
98,137,235,0.16595744680851063,6.472340425531915,38.081312494483804,0.1620481382743992,1500.665372216506,1,4.0,16.0,5.0,11.0,6.518518518518518,-2.3723,9.2925,1763.37085969
98,138,236,0.1694915254237288,6.779661016949152,38.189268112707936,0.1618189326809659,1498.5427875274966,2,4.0,16.0,5.0,12.0,6.857142857142857,-2.5958,10.2153,1772.29727184
98,140,238,0.17647058823529413,7.411764705882353,38.4047230880316,0.1613643827228219,1494.3333755009658,2,4.0,16.0,5.0,14.0,7.466666666666667,-2.9366,11.7849,1787.92480578
