Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
68,90,158,train,True,0.0252168,0.18856657208874822,1287.3144851857237,1287.3724365234375,1287.5030517578125,0.13053399324417114,0.058032578844577076
69,89,158,train,True,0.0252168,0.8217883372306823,1279.916859123707,1279.989501953125,1280.7386474609375,0.7491948008537292,0.0725935363769531
70,88,158,train,True,0.007979,0.4127442240715027,1276.4336913228035,1276.5135498046875,1276.846435546875,0.3328157961368561,0.0799284279346466
71,87,158,train,True,0.0151206,0.8003028559684754,1266.898793823719,1266.933837890625,1267.6990966796875,0.7652770280838013,0.03502582788467412
72,86,158,train,True,0.0174906,0.1752780843898654,1260.947524649985,1261.0416259765625,1261.122802734375,0.0811287984251976,0.09414928596466779
60,99,159,train,True,0.0298125,-0.9058666443824768,1286.1456127381325,1286.122802734375,1285.23974609375,-0.8830615878105164,-0.022805056571960414
61,98,159,train,True,0.0100329,-0.9599959534406662,1292.2093856018782,1292.1707763671875,1291.2493896484375,-0.9213559031486511,-0.038640050292015116
62,97,159,train,True,0.0059307,-0.8436415919661522,1297.1757949122787,1297.0418701171875,1296.3321533203125,-0.7098116874694824,-0.13382990449666976
63,96,159,train,True,0.0043248,-0.6834566006064415,1300.1092378506064,1300.0950927734375,1299.42578125,-0.6692932844161987,-0.014163316190242803
64,95,159,train,True,0.0009858,-0.45040401816368103,1302.0109508931637,1301.8311767578125,1301.560546875,-0.27071431279182434,-0.1796897053718567
65,94,159,train,True,0.0010971,-0.14873531760647893,1301.9519579738565,1302.0196533203125,1301.80322265625,-0.2163974940776825,0.06766217647120357
66,93,159,train,True,0.0014469,0.15297042978927494,1300.9129475389607,1300.8719482421875,1301.06591796875,0.19401219487190247,-0.041041765082627524
67,92,159,train,True,0.0030528,0.32480819441378117,1298.2187709071486,1298.251953125,1298.5435791015625,0.29165059328079224,0.033157601132988934
68,91,159,train,True,0.0036411,0.38440077036619186,1294.6468492296337,1294.7010498046875,1295.03125,0.3302021920681,0.05419857829809188
69,90,159,train,True,0.0279522,0.5284732255339623,1289.8114925947784,1289.927978515625,1290.3399658203125,0.41197091341018677,0.11650231212377549
70,89,159,train,True,0.0175854,0.7015844488143921,1284.2810815668106,1284.4088134765625,1284.982666015625,0.5738947987556458,0.12768965005874633
71,88,159,train,True,0.0376671,0.6990843009948731,1277.6013307380676,1277.5015869140625,1278.3004150390625,0.7988569140434265,-0.09977261304855345
72,87,159,train,True,0.0168063,0.4343374362587929,1269.7357065090537,1269.8631591796875,1270.1700439453125,0.3069010078907013,0.1274364283680916
73,86,159,train,True,0.0196842,0.0820880421390757,1260.6377605906735,1260.6673583984375,1260.7198486328125,0.052397798746824265,0.02969024339225143
60,100,160,train,True,0.046576,-0.572299575060606,1291.2433200828732,1291.194580078125,1290.6710205078125,-0.5235919952392578,-0.04870757982134821
61,99,160,train,True,0.002048,-1.0095379468798638,1296.6732342359423,1296.5823974609375,1295.6636962890625,-0.9186679720878601,-0.09086997479200365
62,98,160,train,True,0.001952,-0.38861198231577876,1303.1959850291908,1303.1385498046875,1302.807373046875,-0.3311440050601959,-0.057467977255582836
63,97,160,train,True,0.000912,-0.911791622042656,1305.7278316611053,1305.616455078125,1304.8160400390625,-0.8003799915313721,-0.11141163051128389
64,96,160,train,True,0.00112,-0.2302942154556513,1309.3321008560806,1309.28271484375,1309.101806640625,-0.18093599379062653,-0.049358221665024765
65,95,160,train,True,0.001104,-0.344391645938158,1308.5299385209382,1308.394775390625,1308.185546875,-0.20931600034236908,-0.13507564559578894
66,94,160,train,True,0.000704,0.22829453267157077,1309.454933006391,1309.4483642578125,1309.6832275390625,0.23478400707244873,-0.006489474400877965
67,93,160,train,True,0.015024,0.5083573593199253,1305.41351764068,1305.3760986328125,1305.921875,0.5458359718322754,-0.037478612512350074
68,92,160,train,True,0.02424,0.4509785421192646,1304.2716777078808,1304.2755126953125,1304.72265625,0.4471279978752136,0.0038505442440509574
69,91,160,train,True,0.032688,0.634981220960617,1297.5813273727895,1297.72998046875,1298.21630859375,0.4863159954547882,0.14866522550582884
70,90,160,train,True,0.005488,0.31423970840871335,1294.7017515025289,1294.809814453125,1295.0159912109375,0.2061759978532791,0.10806371055543423
71,89,160,train,True,0.056816,0.7964721059799195,1286.11026617527,1286.1341552734375,1286.90673828125,0.7725080251693726,0.023964080810546906
72,88,160,train,True,0.009536,0.14223809234797954,1281.018162298277,1281.0206298828125,1281.160400390625,0.13974399864673615,0.0024940937012433995
73,87,160,train,True,0.05432,0.13210837256163357,1269.994966822751,1270.123291015625,1270.1270751953125,0.003836000105366111,0.12827237245626746
74,86,160,train,False,0.149808,-0.24992740847170353,1262.4877203772216,1262.8463134765625,1262.23779296875,-0.6084880232810974,0.3585606148093939
61,100,161,train,True,0.0090321,-0.669004567861557,1301.809019216299,1301.8455810546875,1301.1400146484375,-0.7056297063827515,0.03662513852119442
62,99,161,train,True,0.0068103,-0.5827430294454098,1307.8344520138205,1307.648681640625,1307.251708984375,-0.3970297873020172,-0.18571324214339258
63,98,161,train,True,0.0104006,-0.5473590698838234,1311.9117389526964,1311.9859619140625,1311.3643798828125,-0.6215410232543945,0.0741819533705711
64,97,161,train,True,0.0014973,-0.46828548386693003,1315.016381186992,1314.9180908203125,1314.548095703125,-0.37003740668296814,-0.09824807718396189
65,96,161,train,True,0.0012236,-0.2724594637006521,1316.0952133699507,1316.0914306640625,1315.82275390625,-0.2686249017715454,-0.0038345619291066946
66,95,161,train,True,0.0006923,0.1260889208782464,1316.0163671338094,1315.90283203125,1316.1424560546875,0.23970270156860352,-0.1136137806903571
67,94,161,train,True,0.0021574,0.5403479054570198,1314.1138268992304,1314.26123046875,1314.6541748046875,0.3929426074028015,0.14740529805421831
68,93,161,train,True,0.0087745,0.761494770348072,1311.4344280812145,1311.48388671875,1312.1959228515625,0.7119892239570618,0.049505546391010236
69,92,161,train,True,0.0279496,0.7248466151952744,1307.3137276035548,1307.39892578125,1308.03857421875,0.6396133899688721,0.08523322522640231
70,91,161,train,True,0.0151018,0.5885256858170033,1302.316747751683,1302.5521240234375,1302.9052734375,0.35313791036605835,0.2353877754509449
71,90,161,train,True,0.0279496,0.6164475408196449,1296.536506560743,1296.4979248046875,1297.1529541015625,0.6550819277763367,-0.038634386956691746
72,89,161,train,True,0.0234577,0.47010420814156534,1289.4276008699835,1289.468994140625,1289.897705078125,0.4286555051803589,0.04144870296120645
73,88,161,train,True,0.0243754,0.13402508616447448,1281.1513753044605,1281.1494140625,1281.285400390625,0.1359499990940094,-0.001924912929534922
75,86,161,train,False,0.1499071,-0.357518045976758,1261.3903549600393,1261.6490478515625,1261.0328369140625,-0.6162012219429016,0.2586831759661436
62,100,162,train,True,0.0035316,-0.149167154841125,1313.4781466470286,1313.4271240234375,1313.3289794921875,-0.09806899726390839,-0.05109815757721661
63,99,162,train,True,0.0013122,-0.675284903049469,1317.0539470124245,1316.9886474609375,1316.378662109375,-0.6099066138267517,-0.06537828922271727
64,98,162,train,True,0.003969,-0.11927769748494028,1321.78065465061,1321.7640380859375,1321.661376953125,-0.10264260321855545,-0.016635094266384834
65,97,162,train,True,0.0020574,-0.5119106957316398,1322.315987844169,1322.58056640625,1321.8040771484375,-0.7764226198196411,0.2645119240880013
66,96,162,train,True,0.0006966,0.17396702930331231,1324.132795666009,1324.0997314453125,1324.3067626953125,0.20700900256633759,-0.03304197326302527
67,95,162,train,True,0.0031104,0.5064352321624755,1321.10306183815,1321.1768798828125,1321.6094970703125,0.4326587915420532,0.07377644062042232
68,94,162,train,True,0.0007614,0.8837410926818847,1320.5294669151306,1320.6881103515625,1321.4132080078125,0.725064218044281,0.15867687463760372
69,93,162,train,True,0.0260658,1.0486175036430359,1314.915249683857,1315.049072265625,1315.9638671875,0.9148383736610413,0.1337791299819946
70,92,162,train,True,0.0150984,0.5888300925493241,1312.577795884013,1312.6103515625,1313.1666259765625,0.5562053918838501,0.03262470066547396
71,91,162,train,True,0.0750384,0.6833498057723045,1304.7819822254778,1304.838623046875,1305.46533203125,0.6266447901725769,0.056705015599727626
72,90,162,train,True,0.0089586,0.1200249111931771,1300.4269721591193,1300.3929443359375,1300.5469970703125,0.15402980148792267,-0.03400489029474557
