Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
65,104,169,0.2307692307692307,9.0,30.56735094036984,0.1808718990554429,728.2583001145116,1,3.0,15.0,4.0,22.0,8.91891891891892,-3.6635,12.8334,1363.6762
65,105,170,0.2352941176470588,9.411764705882351,30.687813601627905,0.1805165505978112,726.8275335606435,0,3.0,15.0,4.0,21.0,8.75,-3.3097,12.7826,1368.1635
65,106,171,0.239766081871345,9.830409356725148,30.80804029142188,0.1801639783124087,725.4079449204202,1,3.0,15.0,4.0,20.0,8.571428571428571,-3.1624,12.6505,1373.6978
66,73,139,0.0503597122302158,0.3525179856115107,26.83345121235545,0.1930464115996795,801.7780012069946,1,3.0,16.0,3.0,9.0,5.76,0.1635,7.6747,1106.7119
66,74,140,0.0571428571428571,0.4571428571428571,26.9619949977585,0.1925856785554179,799.8644426163064,2,3.0,16.0,3.0,8.0,5.333333333333333,0.3755,6.9817,1120.0552
66,75,141,0.0638297872340425,0.574468085106383,27.09023308756464,0.1921293126777634,797.9690221411327,1,3.0,16.0,3.0,7.0,4.869565217391305,0.4696,6.1946,1130.9275
66,76,142,0.0704225352112676,0.704225352112676,27.218168369146653,0.1916772420362441,796.091441033262,2,3.0,16.0,3.0,6.0,4.363636363636363,0.3305,5.3152,1143.8708
66,104,170,0.2235294117647059,8.494117647058824,30.687813601627905,0.1805165505978112,749.7378372576528,2,3.0,16.0,4.0,22.0,9.263157894736842,-4.0105,13.4037,1374.4762
66,105,171,0.2280701754385964,8.894736842105264,30.80804029142188,0.1801639783124087,748.2735018166129,1,3.0,16.0,4.0,21.0,9.08108108108108,-3.7334,13.3997,1378.9625
66,106,172,0.2325581395348837,9.30232558139535,30.92803284791408,0.1798141444646167,746.8205399049518,2,3.0,16.0,4.0,20.0,8.88888888888889,-3.6434,13.3212,1385.0508
67,73,140,0.0428571428571428,0.2571428571428571,26.9619949977585,0.1925856785554179,824.687690872624,0,3.0,15.0,3.0,9.0,5.625,0.0903,8.0001,1105.3149
67,74,141,0.0496453900709219,0.3475177304964539,27.09023308756464,0.1921293126777634,822.7334473138145,1,3.0,15.0,3.0,8.0,5.217391304347826,0.2976,7.328,1118.9452
67,75,142,0.056338028169014,0.4507042253521127,27.218168369146653,0.1916772420362441,820.7975967549233,0,3.0,15.0,3.0,7.0,4.7727272727272725,0.3366,6.5627,1130.2095
67,76,143,0.0629370629370629,0.5664335664335665,27.34580368248674,0.1912293963810262,818.879838373099,1,3.0,15.0,3.0,6.0,4.285714285714286,0.2096,5.6967,1143.4178
