Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
35,39,74,train,True,0.0058386,3.548467997312546,635.1559387409687,635.1835327148438,638.7044067382812,3.52083683013916,0.027631167173385762
36,38,74,train,True,0.0020128,3.22315908908844,631.2056128835678,631.4448852539062,634.4287719726562,2.9838979244232178,0.2392611646652223
37,37,74,train,True,0.0030266,3.2242714738845826,619.6900962018967,620.2467041015625,622.9143676757812,2.6676411628723145,0.5566303110122681
29,46,75,train,True,0.00072,-0.7153904134035111,637.1618625813722,637.1309814453125,636.4464721679688,-0.6845245361328125,-0.03086587727069856
30,45,75,train,True,0.0019575,0.022267301576794126,644.693980257017,644.4373779296875,644.7162475585938,0.2788756191730499,-0.2566083175962558
31,44,75,train,True,0.0006675,0.925207815170288,649.3589718723297,649.5567626953125,650.2841796875,0.72746741771698,0.19774039745330807
32,43,75,train,True,5.25e-05,1.8789922350645065,652.0225580579042,652.1707153320312,653.9015502929688,1.7308475971221924,0.14814463794231414
33,42,75,train,True,0.000885,2.7246776831150057,652.1975635278225,652.5656127929688,654.9222412109375,2.3566317558288574,0.36804592728614827
34,41,75,train,True,7.5e-05,3.185614550113678,650.7031183600426,650.9185180664062,653.8887329101562,2.9701735973358154,0.21544095277786246
35,40,75,train,True,0.0042825,3.4084090006351473,646.9525529134273,647.07373046875,650.3609619140625,3.287245035171509,0.1211639654636385
36,39,75,train,True,0.0081075,3.3950385785102846,641.282512691021,641.5079956054688,644.6775512695312,3.169534683227539,0.2255038952827455
37,38,75,train,True,0.0011775,3.2282169926166535,633.3724910151958,633.6207275390625,636.6007080078125,2.979992151260376,0.24822484135627754
38,37,75,train,False,0.220005,2.945656522512436,622.3237526571751,622.2383422851562,625.2694091796875,3.031048059463501,-0.08539153695106494
29,47,76,train,True,0.000912,-1.1970077115297317,641.578172262311,641.7137451171875,640.3811645507812,-1.3325867652893066,0.1355790537595749
30,46,76,train,True,0.0014592,-0.5276595720648766,652.2681991228461,652.2528076171875,651.7405395507812,-0.5122409462928772,-0.015418625771999372
31,45,76,train,True,0.0019532,0.4386933894455433,655.4485746769607,655.4640502929688,655.8872680664062,0.4232199192047119,0.0154734702408314
32,44,76,train,True,2.28e-05,1.2393907821178436,661.4398084366321,661.5979614257812,662.67919921875,1.0812290906906128,0.1581616914272308
33,43,76,train,True,0.0008892,2.615711908340454,659.6684067440033,659.8941040039062,662.2841186523438,2.3900249004364014,0.22568700790405272
34,42,76,train,True,2.28e-05,2.804662755727768,661.7078494513034,662.0723266601562,664.5125122070312,2.440166473388672,0.36449628233909603
35,41,76,train,True,0.0093252,3.4865545332431793,656.0854059159756,656.3270874023438,659.5719604492188,3.244826316833496,0.24172821640968323
36,40,76,train,True,0.0040128,3.243371309041977,653.997107206583,654.2694091796875,657.240478515625,2.9710798263549805,0.27229148268699666
37,39,76,train,True,0.0009348,3.393390648365021,644.3574638438225,644.9524536132812,647.7508544921875,2.7984280586242676,0.5949625897407533
38,38,76,train,True,0.034466,2.946978076696396,637.9161200678349,637.9386596679688,640.8630981445312,2.9244496822357178,0.022528394460678225
