Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
14,12,26,-0.07692307692307693,0.15384615384615385,8.776382955329126,0.33755319058958183,57.50424047001639,2,1.0,6.0,1.0,4.0,2.4,-0.5571,0.8418,206.1479,206.0424158,0.10548420000000647,0.0001066
9,18,27,0.3333333333333333,3.0,8.999999999999998,0.33333333333333337,22.25740888344166,1,1.0,1.0,1.0,2.0,0.6666666666666666,-3.0563,0.8173,186.6022,185.7509874,0.8512125999999967,0.1201986
10,17,27,0.25925925925925924,1.8148148148148149,8.999999999999998,0.33333333333333337,27.875432118585895,1,1.0,2.0,1.0,3.0,1.2,-1.2981,1.1463,203.9932,203.0512077,0.9419923000000097,0.0907713
11,16,27,0.18518518518518517,0.9259259259259259,8.999999999999998,0.33333333333333337,34.13584214761351,1,1.0,3.0,1.0,4.0,1.7142857142857142,-0.4121,0.7964,215.7937,214.8375609,0.9561391000000015,0.003726
12,15,27,0.1111111111111111,0.3333333333333333,8.999999999999998,0.33333333333333337,41.04013740527574,1,1.0,4.0,1.0,5.0,2.2222222222222223,0.7112,0.6255,222.894,223.1240175,-0.23001750000000243,4.86e-05
13,14,27,0.037037037037037035,0.037037037037037035,8.999999999999998,0.33333333333333337,48.589604428439635,1,1.0,5.0,1.0,6.0,2.727272727272727,0.7548,0.2263,224.9154,224.9519391,-0.036539099999998825,4.86e-05
14,13,27,-0.037037037037037035,0.037037037037037035,8.999999999999998,0.33333333333333337,56.78536210305851,1,1.0,6.0,1.0,5.0,2.727272727272727,0.0862,0.2461,219.5232,219.357234,0.1659659999999974,0.000108
15,12,27,-0.1111111111111111,0.3333333333333333,8.999999999999998,0.33333333333333337,65.62839411754422,1,1.0,5.0,1.0,4.0,2.2222222222222223,-0.8749,0.7942,206.2163,206.8494138,-0.633113800000018,0.0090018
9,19,28,0.35714285714285715,3.5714285714285716,9.220872584116892,0.32931687800417475,21.989221217872178,0,1.0,1.0,1.0,1.0,0.5,-2.5001,0.464,186.0716,185.5519876,0.5196123999999998,0.1203468
10,18,28,0.2857142857142857,2.2857142857142856,9.220872584116892,0.32931687800417475,27.53955083493002,2,1.0,2.0,1.0,2.0,1.0,-1.4207,1.5952,207.7437,206.8736964,0.8700035999999898,0.1260672
11,17,28,0.21428571428571427,1.2857142857142858,9.220872584116892,0.32931687800417475,33.724526892286214,0,1.0,3.0,1.0,3.0,1.5,0.1208,1.2556,218.8467,218.3794032,0.4672967999999855,0.0102452
12,16,28,0.14285714285714285,0.5714285714285714,9.220872584116892,0.32931687800417475,40.545629769503286,2,1.0,4.0,1.0,4.0,2.0,0.0309,0.6962,231.9571,231.6286868,0.32841319999999996,0.0002604
13,15,28,0.07142857142857142,0.14285714285714285,9.220872584116892,0.32931687800417475,48.0041305014947,0,1.0,5.0,1.0,5.0,2.5,1.0608,0.1804,232.4946,232.6771132,-0.1825132000000167,5.04e-05
14,14,28,0.0,0.0,9.220872584116892,0.32931687800417475,56.101134492347434,2,1.0,6.0,1.0,6.0,3.0,-0.43,0.0244,236.3086,236.536846,-0.2282459999999844,5.6e-06
15,13,28,-0.07142857142857142,0.14285714285714285,9.220872584116892,0.32931687800417475,64.83761357765162,0,1.0,5.0,1.0,5.0,2.5,-0.105,0.214,221.1794,221.4095576,-0.2301576000000125,0.001148
16,12,28,-0.14285714285714285,0.5714285714285714,9.220872584116892,0.32931687800417475,74.21443012333523,2,1.0,4.0,1.0,4.0,2.0,-1.9238,0.8996,209.0376,209.4061508,-0.3685508000000084,0.1600004
9,20,29,0.3793103448275862,4.172413793103448,9.43913067739236,0.32548726473766765,21.733509412857874,1,1.0,1.0,2.0,0.0,0.0,-2.8825,0.2471,187.0723,186.8769106,0.19538940000001048,0.525364
10,19,29,0.3103448275862069,2.793103448275862,9.43913067739236,0.32548726473766765,27.21929446097715,1,1.0,2.0,1.0,1.0,0.6666666666666666,-0.5501,1.0928,207.722,207.8449517,-0.12295169999998734,0.1495037
11,18,29,0.2413793103448276,1.6896551724137931,9.43913067739236,0.32548726473766765,33.33234567043053,1,1.0,3.0,1.0,2.0,1.2,-0.0342,1.6667,223.61,222.7824138,0.8275862000000132,0.007337
12,17,29,0.1724137931034483,0.8620689655172413,9.43913067739236,0.32548726473766765,40.074126205503724,1,1.0,4.0,1.0,3.0,1.7142857142857142,0.4842,1.1088,235.738,235.2924193,0.4455806999999936,0.0003451
13,16,29,0.10344827586206896,0.3103448275862069,9.43913067739236,0.32548726473766765,47.445892320294234,1,1.0,5.0,1.0,4.0,2.2222222222222223,0.5874,0.213,242.4701,242.1054763,0.3646237000000099,0.0003451
14,15,29,0.034482758620689655,0.034482758620689655,9.43913067739236,0.32548726473766765,55.44873656418758,1,1.0,6.0,1.0,5.0,2.727272727272727,0.1095,0.0062,244.3567,245.0104469,-0.6537469000000158,5.8e-06
15,14,29,-0.034482758620689655,0.034482758620689655,9.43913067739236,0.32548726473766765,64.0836194713353,1,1.0,5.0,1.0,6.0,2.727272727272727,-0.62,0.0122,238.6184,239.2858672,-0.6674672000000044,0.0003596
16,13,29,-0.10344827586206896,0.3103448275862069,9.43913067739236,0.32548726473766765,73.35139337924527,1,1.0,4.0,1.0,5.0,2.2222222222222223,-0.9999,0.2513,224.9723,224.6450954,0.3272045999999875,0.0130413
